house_id,price
house_9442,58.81
,181.84
house_8279,60.64
house_1584,98.38
house_4516,91.93
house_10904,403.36
,55.77
,105.01
house_373,163.8
house_2536,68.78
house_8032,43.65
,75.32
house_4800,29.93
house_10625,48.93
house_7922,220.59
,91.72
house_11624,54.45
house_5062,125.35
house_10542,233.83
house_7266,83.07
house_6557,204.84
house_12209,69.06
house_12577,64.82
house_5121,57.22
house_11832,28.32
house_6888,105.41
,97.36
house_6962,39.18
house_12883,50.06
house_5911,219.98
house_9974,65.84
house_10757,69.27
,10.23
house_6673,101.06
house_12486,87.06
house_5256,160.56
house_10453,71.93
house_1350,203.97
,143.91
,53.02
house_10606,51.51
,165.34
,46.13
house_11183,62.32
,91.68
house_2781,446.01
,72.86
house_8081,113.28
house_5741,71.73
house_1140,20.94
house_734,103.14
house_8292,112.12
house_374,114.56
house_11130,127.36
house_7049,53.59
house_465,82.33
house_9879,65.32
,264.32
house_12357,248.72
,76.88
house_2200,42.66
,47.48
house_12702,43.05
,113.58
house_4,17.97
house_2554,114.51
,97.13
house_8782,93.92
house_11991,36.57
house_4739,66.14
house_1915,59.26
house_1551,32.24
house_9479,32.06
house_8866,134.15
house_145,65.14
,99.28
house_7817,146.47
house_9626,103.99
house_6388,38.81
,40.61
house_8821,65.09
,-27.32
house_11834,244.85
house_9157,83.1
house_656,40.18
house_2682,77.5
house_13166,100.87
house_12794,107.52
house_1985,27.98
house_3955,62.06
house_7432,320.41
house_4860,47.85
house_11023,70.06
house_2994,71.9
house_6171,134.95
house_11374,43.25
house_9749,147.41
house_3443,70.71
house_4028,42.1
house_3999,404.6
house_11554,44.77
house_4791,52.44
house_5710,29.94
house_11984,-12.17
house_10740,272.89
house_2622,51.17
house_1458,73.69
house_1651,72.43
house_8835,78.41
house_5189,75.81
house_7835,86.25
house_8013,200.55
house_10558,60.06
house_9207,279.07
house_8002,85.8
house_8632,-7.74
house_2083,124.36
house_3556,57.06
house_5935,59.04
,89.7
,30.64
house_4260,95.21
house_4425,17.87
,137.17
,-15.66
house_12394,60.86
house_5417,76.9
house_5290,123.57
house_9302,101.83
house_4161,186.38
house_9537,92.76
,72.65
house_11999,141.81
house_5834,44.72
house_3399,604.98
,92.44
house_6993,74.5
house_6734,11.94
house_4153,55.39
house_6787,47.69
house_6922,86.92
house_793,169.77
house_13034,71.56
,85.29
house_3776,35.89
,39.08
house_76,415.06
house_7181,124.9
,67.51
house_9424,101.09
house_314,155.01
house_12563,11.69
house_7337,353.64
house_10910,125.95
house_9095,52.83
house_12769,124.15
house_1405,60.72
house_3774,43.85
house_10081,50.98
house_5768,57.61
house_7359,403.63
house_6093,114.7
house_1390,46.45
house_8686,301.87
house_10324,205.99
house_7134,26.08
,62.16
house_8873,19.15
house_10242,231.21
house_5881,137.01
house_6434,56.22
house_788,-8.15
house_10790,55.29
house_9469,29.51
house_6233,57.14
house_9562,26.5
house_7246,245.28
,81.19
house_2737,124.6
house_5721,78.4
house_2332,58.99
house_1259,46.97
house_10255,167.94
house_1215,350.75
house_11977,306.15
,155.92
,87.03
house_1415,140.88
house_1319,78.52
house_2802,67.26
house_6555,288.04
house_750,-12.75
house_222,198.56
house_11718,84.94
house_6610,83.08
house_12066,56.88
,46.17
